mintemp,maxtemp,rainfall,windgustdir,windgustspeed,winddir9am,winddir3pm,windspeed9am,windspeed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,temp9am,temp3pm,raintoday,risk_mm,raintomorrow,year,month,day_of_year
15.2,27.8,0,SW,46,SSE,SW,17,24,51,45,1015.1,1011.3,19,24.3,No,0,No,2020,2,40
8.6,21.6,0,SSE,28,SSE,S,4,13,59,39,1023.2,1020.6,15.8,20.5,No,0,No,2017,5,130
17.9,35.9,0,SE,33,E,SSW,11,11,50,28,1015.2,1010.6,25.1,35.6,No,0,No,2018,11,320
7.6,15.7,0,SE,22,ENE,E,7,9,71,54,1019.2,1015.7,9.6,14.9,No,1.6,Yes,2009,6,173
10.3,20.5,0.6,S,20,S,SW,7,9,87,51,1018.9,1015,13.8,19.1,No,0,No,2013,5,138
10.5,34.3,0,NE,41,NE,NNE,20,19,21,12,1017.2,1012.9,25.1,33.5,No,0,No,2012,10,275
14.3,36.1,0,S,28,E,SW,7,17,35,16,1013.1,1010.1,28.2,34.5,No,0,No,2017,12,355
16.3,29.2,0,SW,37,E,SSE,19,17,53,26,1013,1009.2,20.7,28,No,0,No,2012,3,74
10.2,23.2,0,SSW,33,SSE,SW,7,17,69,51,1025.1,1022.1,16.3,20.9,No,0,No,2015,9,269
0.8,15.6,0,ENE,17,SSE,WSW,6,2,82,48,1029.7,1025.7,7.3,14.7,No,1.2,Yes,2015,7,190
19.2,34.9,0,ESE,39,ESE,ESE,17,17,50,29,1019.7,1015.9,24.2,33.7,No,0,No,2019,2,39
9.5,21.8,0,NE,33,NE,ENE,11,15,54,38,1020.8,1016.2,15.7,21.3,No,0,No,2015,6,167
19.2,25.5,0.6,WNW,46,WNW,WNW,15,24,61,67,1014.4,1014.5,23.1,23.2,No,4.6,Yes,2012,4,93
9.8,21.8,0,NNE,30,E,NE,11,9,64,41,1023.3,1018.7,15.1,21.3,No,0,No,2013,5,134
24.6,37.1,0,ESE,46,E,E,13,13,37,18,1014,1011.5,28,36.9,No,0,No,2020,2,51
9.4,19.6,0,ESE,30,E,SE,13,13,60,55,1020.4,1015.9,13.9,18.9,No,0,No,2014,9,247
15.8,22,4.4,W,37,WSW,WNW,17,15,68,58,1017.3,1017.4,17,19.3,Yes,2.2,Yes,2012,10,288
3.2,22.1,0,W,26,NNE,WSW,7,13,66,37,1020.4,1017,10.2,20.7,No,3.2,Yes,2013,7,183
12.2,20.5,5.2,WSW,33,NNE,WSW,9,13,88,73,1015.7,1015.4,16.9,18.8,Yes,6.2,Yes,2017,9,254
9.4,25.1,0,NE,31,ENE,ENE,17,9,53,31,1022.7,1018,17.7,24.7,No,0,No,2017,10,274
11.8,26,0,SW,31,SE,WSW,4,13,67,54,1020.8,1018,20.1,24,No,0,No,2012,4,105
14.1,27.1,0,SSE,33,ENE,SW,17,17,57,44,1020.4,1017.3,20,25.9,No,0,No,2013,11,311
20.4,28.6,0,NW,33,WNW,W,11,15,67,49,1012.1,1010.5,24.5,27.5,No,0,No,2012,2,42
20.5,31.2,0,SW,30,WSW,SW,7,15,61,52,1011.4,1010.6,29.1,30.9,No,0,No,2010,12,358
1.2,17,0,NE,20,NE,SSE,7,6,97,52,1030.1,1028.5,7.5,15.6,No,0,No,2008,7,202
19.5,34.3,0,ENE,30,ENE,WSW,11,15,56,41,1013.6,1010.5,25.4,32.1,No,0,No,2020,2,43
2.8,20.7,0,NNE,37,NE,NE,17,15,37,20,1022.2,1018,12,20.6,No,0,No,2010,8,222
20.9,36.4,0,SW,31,ENE,SW,13,19,48,27,1020.3,1017.7,25.6,33.5,No,0,No,2011,3,84
17.2,28.4,0,SW,48,S,SW,13,26,58,46,1016.8,1015.2,21.8,25.4,No,0,No,2013,1,24
20.3,25.1,20.2,E,37,SSE,SSE,9,19,92,70,1002.6,1004,21.4,23.8,Yes,0,No,2012,2,34
15,23.9,0,NW,54,N,NW,11,17,57,66,1012.4,1010.6,21.4,21.9,No,3.8,Yes,2012,10,276
16.4,30.2,0,SW,39,E,SW,9,17,46,36,1018.9,1015.4,23.8,28.4,No,0,No,2019,11,327
14,26.6,0,SW,43,SSW,SW,15,24,57,52,1014.6,1014.6,21.6,23.5,No,0,No,2012,11,319
21.7,33,0.2,NE,39,NNE,W,7,13,62,49,1005.7,1002.5,25.3,30.8,No,0.2,No,2009,3,60
18,26.3,0,SW,37,S,SW,13,19,56,48,1015.8,1014.5,21.9,25.6,No,0,No,2020,2,47
11.8,17.1,0,SW,15,SW,SW,2,7,69,76,1028,1025,15.2,16.7,No,0,No,2015,8,225
15.6,24.8,0.2,WSW,19,WSW,W,7,9,76,56,1012.7,1011.4,19.3,23.7,No,0,No,2014,4,115
13.1,20.5,0,SW,41,SSW,SSW,11,20,66,37,1022,1022.2,16.6,18.8,No,0,No,2008,10,286
13.5,18.8,0.2,WSW,46,N,WNW,9,19,96,89,1014.4,1011.2,16.7,15.9,No,19.2,Yes,2012,8,225
5.9,21.3,0,NE,28,NE,ENE,11,9,58,37,1032,1028.5,13.9,20.9,No,0,No,2014,8,216
23.8,35.3,0,NE,31,ENE,ENE,13,11,54,42,1006.8,1004.2,28.9,34.2,No,0,No,2011,2,55
11.5,23.8,0,W,20,ENE,WNW,11,9,77,58,1017.3,1012.1,16.5,22.3,No,2.8,Yes,2012,8,233
5.8,16.8,0,ENE,26,ESE,E,2,7,93,62,1030.8,1026.9,11.7,16.2,No,0,No,2018,7,188
14.7,29.4,0,SW,35,ESE,SSW,11,17,44,35,1015.7,1010.7,22.3,27.4,No,0,No,2010,12,345
9.7,23.8,0,SW,35,E,SW,6,13,61,45,1020,1016.5,18.4,23.4,No,0,No,2020,3,90
8.9,27.1,0,WSW,24,SSE,WSW,4,13,46,44,1021.2,1018.5,19.3,25.5,No,0,No,2015,4,112
15.2,32.7,0,NNE,24,NE,W,11,9,41,26,1022.7,1020.2,22.8,29.5,No,0,No,2018,5,132
17.8,32.7,0,SW,43,SE,SW,9,19,58,38,1007.8,1004.3,23.7,31.9,No,0,No,2009,1,27
10.3,20.5,0,ENE,31,E,E,9,9,71,46,1025.6,1021.4,15.1,19.4,No,0,No,2011,5,145
14.7,25.6,0,SW,46,SSE,SSW,19,20,55,42,1019.3,1016.6,19.4,23.8,No,0,No,2017,11,325
20,42.1,0,WSW,33,NE,WSW,15,17,23,19,1012.6,1009.8,35.3,37.2,No,0,No,2019,1,20
13.1,27.8,0,SSW,37,E,SSW,13,17,38,40,1019.5,1016.6,20.7,25.7,No,0,No,2017,12,335
13.4,37,0,NE,37,NE,WSW,20,17,17,12,1015.8,1012.4,29.2,34.4,No,0,No,2010,11,307
5.8,19.7,0,NNE,31,E,E,7,11,59,27,1031.8,1028.7,12.2,18.9,No,0,No,2008,8,226
14.3,19.8,5.8,SW,31,ESE,SW,9,13,71,42,1022,1021.7,15.3,18.8,Yes,0,No,2014,8,234
14.3,22.5,0,SW,31,SW,WSW,11,15,61,44,1018.6,1016.9,19.1,20.9,No,0,No,2017,10,297
17.4,23.3,7,WNW,44,NNE,WNW,11,19,95,67,1012,1010.2,17.9,22.8,Yes,4,Yes,2018,4,112
8.6,22.5,0,ENE,24,E,NNW,9,4,79,37,1022,1018.4,13.1,22.1,No,0,No,2017,5,132
8.9,17.4,0,N,43,N,NNW,15,7,68,97,1013.6,1013.2,14.9,14.9,No,19.2,Yes,2008,7,205
9,21.7,0,E,19,NE,NE,7,7,78,54,1027.1,1022.8,13.3,21.1,No,0,No,2013,8,215
5.4,17.5,2,S,35,S,S,9,13,64,46,1026.1,1024.9,12.9,16.8,Yes,0,No,2012,9,250
19.4,36.8,0,ENE,35,ENE,ESE,9,15,48,21,1014.3,1010.6,27.7,35.5,No,0,No,2012,1,12
9,25.5,0,E,26,E,E,11,7,40,22,1024.9,1019.3,17.4,25,No,0,No,2011,10,293
18.3,30.8,0,SW,35,ENE,SW,11,13,52,35,1021.4,1017.1,22.5,29.4,No,0,No,2010,3,66
22.1,36.2,0,E,33,E,SSW,15,11,39,27,1013.3,1010.3,25.5,35.5,No,0,No,2020,2,50
21.9,36,0,SSW,43,E,SSW,13,17,46,30,1011.4,1008,26.4,34.6,No,0,No,2016,1,2
18.1,32.1,0,NE,41,NNE,NW,24,15,25,46,1011.7,1011.2,26.9,25.2,No,0,No,2008,10,289
15.9,29.2,0,SW,46,ESE,SW,9,20,53,43,1015.9,1011,21.4,26.9,No,0,No,2012,2,58
20.1,27.7,0,SSW,39,S,SSW,17,19,42,55,1013.7,1012.8,24.2,26.5,No,0,No,2019,1,13
22.6,42.7,0,E,35,E,SE,15,9,32,12,1011.7,1007.3,29.6,41.8,No,0,No,2020,2,35
16.9,31.3,0,SSW,28,E,SW,9,15,60,46,1019.3,1015,22.5,28.6,No,0,No,2019,3,73
13.9,26.3,0.4,NE,41,NE,SSW,17,15,66,42,1005.2,1003.5,18.6,24.5,No,0.4,No,2016,1,19
18.8,29.3,0,SW,35,NNE,W,7,11,86,64,1012.5,1010.8,22.2,27.3,No,0,No,2013,3,78
0.7,18.3,0,N,37,NE,NNE,15,13,72,36,1028.9,1024.2,8.7,17.9,No,0,No,2008,7,189
16.3,17.7,45.4,SSW,46,NW,WSW,15,13,93,86,1010.9,1012,17.1,15.1,Yes,13.4,Yes,2013,8,220
17.6,26.2,0,SSW,44,ESE,SSW,11,22,59,44,1014.7,1012.5,19.8,25.1,No,0,No,2008,12,351
9,21.7,0.6,WSW,19,SW,SW,7,11,84,55,1026,1024.6,13,21.1,No,0,No,2015,6,158
14,20.8,0.8,SSE,35,SSE,SW,17,17,60,41,1022.9,1022.2,16.6,19.9,No,0,No,2020,4,119
16.4,31.7,0,E,41,ESE,E,17,13,50,29,1018.1,1012.9,20.6,30.4,No,0,No,2018,2,55
14.5,29.7,0,E,30,E,ESE,7,9,52,20,1028.2,1024.1,18.5,28.9,No,0,No,2009,4,94
4.8,17.9,0,NE,31,E,NE,9,15,75,53,1028.3,1023.4,10.6,17.4,No,0,No,2009,7,184
6.1,23,0,NE,37,NE,NNE,17,17,35,19,1024.1,1020.2,15.1,22,No,0,No,2019,6,156
15.6,31.5,0,SSW,35,SSE,SW,9,17,55,29,1019.5,1016.7,22.4,30.5,No,0,No,2008,12,348
12.9,17.9,4.6,SW,46,S,SSW,13,19,53,52,1025.1,1025.2,15.8,16.7,Yes,0.2,No,2011,8,236
7.3,18.8,0,NE,22,ESE,E,6,9,72,47,1023.2,1020.7,10.4,17.8,No,0,No,2011,7,198
16.8,29.4,0,SSW,43,SE,SW,13,19,50,34,1018.3,1015.7,21.3,27.8,No,0,No,2019,11,332
7.3,20.8,0,WNW,28,NNE,WNW,9,15,77,57,1018.3,1014.4,13.6,19.3,No,0.2,No,2012,9,246
18.1,37.4,0,SSW,37,SSE,WSW,13,19,28,29,1012,1008.2,24.8,35,No,0,No,2009,1,25
18.1,26.6,3.6,SW,31,E,WSW,6,9,83,64,1013.8,1013.3,20.7,24.3,Yes,0.4,No,2013,4,109
11.8,20.3,0,SW,44,S,SW,17,24,42,37,1019.3,1018,17.3,19.7,No,0,No,2009,11,330
9,19.6,0.4,SW,52,WSW,SW,17,26,64,77,1021.5,1021.8,16.7,14.4,No,0.4,No,2008,10,278
14.2,24.2,0,W,24,ENE,W,6,11,78,65,1018.3,1017.1,20.1,22.4,No,7.8,Yes,2017,5,124
13.8,19.4,30.2,SW,33,SE,S,9,11,78,52,1017.5,1017.4,15.3,18.5,Yes,0,No,2011,6,153
13.6,19.5,0,WNW,43,NNE,W,4,19,66,39,1013.8,1013.7,15.8,18.6,No,9.2,Yes,2008,11,308
9.1,19.9,0,NNW,22,NNE,NNW,13,9,86,49,1018.8,1015.9,12.2,19.7,No,0.2,No,2011,7,200
11.5,25.3,0,SW,30,NE,WSW,7,11,75,57,1024.4,1023.4,19.1,23.3,No,0,No,2019,9,255
11.4,26,0,SW,33,SE,SSW,7,17,61,45,1021.5,1019.5,18,23.8,No,0,No,2009,5,131
8.5,19.3,0,SE,31,SE,ESE,9,9,71,45,1027.9,1025.8,15.4,18,No,0,No,2017,8,235
10.5,28,0,WSW,30,ENE,W,6,15,50,68,1016.3,1015.4,20,22.3,No,0,No,2019,9,253
12.6,20.7,0,SSW,37,SSW,S,20,11,88,59,1023.3,1022,15.8,19.3,No,0.2,No,2014,8,238
14.6,20.8,0,SW,41,WSW,WSW,17,9,55,93,1015,1015.8,18.3,15.7,No,3.4,Yes,2009,10,283
12,22.6,0,SW,30,N,WSW,6,15,85,60,1017.3,1016.3,19.1,22,No,0,No,2019,9,260
20.3,35.2,0.2,SSW,28,SE,SSW,6,17,66,45,1016.2,1013.2,26.5,32.6,No,0,No,2017,3,62
3.1,21.3,0,SW,44,ENE,WNW,11,11,55,38,1016.8,1010.6,12.9,20.4,No,7.2,Yes,2009,9,247
21,38.4,0,NW,41,NE,NW,17,20,38,41,1008.4,1006.8,30.8,33.9,No,0,No,2015,2,55
19.7,30.5,0,SW,48,SE,WSW,13,17,56,45,1006.5,1003.5,21.9,28.2,No,0.4,No,2019,1,22
8.4,20.6,0,ENE,30,ENE,NNW,13,7,62,31,1023.5,1019.8,13.1,19.9,No,0,No,2015,9,246
13.8,26.5,0,SSW,35,E,SW,11,13,51,49,1022.5,1019.3,19.3,25.2,No,0,No,2019,11,311
8.2,24.9,0,NE,26,S,ESE,6,9,52,31,1031.8,1028.2,17.9,24.6,No,0,No,2018,5,137
15.5,29.6,0,SW,35,ESE,SW,11,22,48,37,1007.3,1005.3,23.4,28.7,No,0,No,2013,11,331
1.8,22.5,0,NNW,39,NNE,WNW,13,17,44,11,1029.5,1025.8,13.2,22.1,No,0,No,2008,8,231
17.3,32,0,SSW,41,SSE,WSW,6,19,47,45,1009.7,1007.6,25.2,28.1,No,0,No,2011,3,69
12.7,23.6,0,SW,48,SSE,SSW,15,24,52,42,1017.7,1016.6,18.4,22.2,No,0,No,2014,12,343
16.2,25.1,0.4,SW,39,S,SW,15,22,52,46,1019,1019.1,21,22.6,No,0,No,2019,12,342
7.3,24.3,0,NE,28,NE,NE,17,7,47,37,1023.1,1020.9,16.4,23.9,No,0,No,2018,8,231
17.4,25.3,0,SW,44,ESE,SW,9,19,70,52,1015.8,1012.2,19.3,24.8,No,0,No,2009,3,89
20.8,37.1,0,ENE,31,E,SW,6,15,25,16,1009.9,1008.7,30,35.6,No,0,No,2013,12,350
2.7,16.1,11.4,SSE,19,SE,SE,7,9,92,47,1028.4,1028.5,8.1,15.3,Yes,0,No,2012,6,173
18.7,35.3,0,S,26,NNW,W,9,11,24,36,1013.2,1011.5,30.9,32.4,No,0,No,2010,3,61
20.4,29.5,1.2,SSW,35,SE,S,13,19,75,57,1011.9,1008.9,23.6,28.3,Yes,0,No,2011,1,23
7.5,21.2,0.2,NW,65,N,NNW,17,24,69,65,1013.7,1007.5,14.9,19,No,11.8,Yes,2013,9,259
5.6,22,0,ENE,24,ENE,ESE,7,6,62,29,1033.9,1030.4,12.3,21.6,No,0,No,2012,5,145
7.9,27,0,NNE,26,NE,NE,13,11,54,23,1022,1019.4,17.6,26.6,No,0,No,2015,8,227
12.4,21.7,0.6,NW,48,N,NW,11,26,80,68,1015.9,1012.2,15.9,19.5,No,9.6,Yes,2012,8,219
19,25.8,0,SW,41,WSW,SW,15,17,63,49,1005.7,1005.7,23.5,24.6,No,0,No,2013,12,365
9.8,22.1,0,SSW,39,S,SSW,7,20,56,49,1022.8,1019.4,16.2,20.5,No,0,No,2019,10,290
13.2,34.9,0,SW,37,NE,SW,15,20,28,18,1017.3,1014.6,26.5,31.7,No,0,No,2010,11,321
8.6,16.6,6.8,S,35,SSE,SSW,13,13,65,51,1024.9,1025,12.3,14.9,Yes,0,No,2018,8,234
7.8,22.6,0,SW,26,NE,WSW,6,13,58,45,1020.7,1018.2,17.4,21.2,No,0,No,2011,10,278
6.7,18.4,0.2,WNW,28,NNE,W,11,9,81,67,1018,1014.5,12,16.6,No,8.6,Yes,2010,8,233
16,23.6,2,SSW,41,SSE,SW,15,24,58,36,1014.4,1012.8,17.8,22.7,Yes,0,No,2008,12,356
11.5,15.6,3.8,SW,46,SW,SW,17,19,57,56,1018.2,1019.1,13.1,13.9,Yes,0.2,No,2009,9,245
13,35.3,0,NE,35,NE,WSW,20,17,27,13,1014,1011.3,27.6,33.9,No,0,No,2020,1,5
14.4,33.7,0,SSW,35,E,SW,6,15,32,25,1017.3,1014.3,25.6,30.8,No,0,No,2011,3,87
4.9,19.4,0,ENE,50,E,E,7,7,75,48,1027.7,1024.2,12.5,18.8,No,0,No,2017,5,148
13.1,19.5,4.2,WSW,37,W,WSW,11,13,53,58,1017,1016.1,17.3,17.8,Yes,1.4,Yes,2017,10,300
14.5,29.4,0,SW,35,ESE,SW,9,15,51,45,1021.2,1016.8,21.1,27.5,No,0,No,2017,11,305
10.2,17.7,11.8,W,54,SW,WSW,20,15,61,55,1018,1017.3,14.6,15.8,Yes,0.6,No,2013,9,260
21.5,34.1,0,E,44,ENE,SSW,11,17,51,38,1008,1006.6,27.8,33.4,No,0,No,2011,2,50
16.2,30.8,0,W,30,ENE,W,6,11,58,48,1012,1011.1,22.2,29.5,No,0,No,2009,3,75
12.3,20.3,0,E,22,S,NE,11,9,79,51,1022.2,1020.3,15.2,20,No,0,No,2014,9,246
15.2,25.5,0,WNW,33,SE,SW,6,15,75,46,1011.1,1010,19.2,22.9,No,3.2,Yes,2011,10,295
12.9,24,0,SSW,37,SSE,SSW,11,17,57,42,1015.7,1013.3,18,22.9,No,0,No,2010,11,311
13.6,22.5,0.8,WNW,43,NW,NW,7,19,80,65,1015.1,1013.6,17.9,21.5,No,11.2,Yes,2013,8,217
19.6,35.2,0,SSW,35,S,SW,6,20,38,37,1009.6,1007.9,30.8,31.2,No,0,No,2020,1,28
16.4,24.7,0,SW,35,NNW,W,13,15,72,71,1013.9,1013,22.1,21.7,No,0,No,2014,10,275
16.1,33,0,SSW,20,ESE,WSW,7,11,59,35,1019.1,1017.1,24.3,31.7,No,0,No,2014,4,103
20.8,26.4,0,WNW,20,SSE,WNW,7,13,85,73,1014.6,1013.5,22.7,24.1,No,0,No,2013,4,106
6,23.3,0,NE,22,ENE,ENE,11,7,46,29,1023.3,1019.8,16.2,22.7,No,0,No,2019,8,239
13.3,28.8,0,SSW,39,ENE,SSW,11,19,57,47,1019.7,1016.9,21.2,25.9,No,0,No,2014,3,69
4.5,20,0,SW,24,S,SW,6,11,61,41,1023.4,1019.4,13.2,18.7,No,0,No,2018,9,245
23,29.4,3,ESE,41,SSE,SE,7,17,74,72,1004.5,1000.4,27.2,27.6,Yes,20.2,Yes,2012,2,33
14.7,23.6,0,NE,43,NE,ESE,15,9,41,54,1009.9,1005.7,20.9,22.7,No,20,Yes,2010,5,141
16.9,26.1,0,SW,41,S,SW,11,20,56,42,1009.1,1010.2,22.6,23.9,No,0,No,2014,1,1
10.8,26,0,WSW,26,ENE,WNW,4,7,51,43,1015.7,1013.6,20.5,24.3,No,0,No,2018,4,116
15.1,20.9,0,SSW,31,SE,SSW,13,11,71,63,1018.7,1017.1,17.1,20.4,No,0,No,2010,4,112
15.7,32.3,0,NE,26,E,S,11,11,56,30,1015.2,1010.8,20.8,31.5,No,0,No,2010,4,108
24.6,36.7,0,SW,33,NE,SW,17,15,54,37,1010.5,1006.4,28,35.2,No,0,No,2014,1,25
11.1,22.4,0,SW,31,SSW,SW,7,13,68,54,1019.2,1017,19.2,22.2,No,0,No,2014,10,276
18.9,26.4,0,SSW,28,W,WSW,11,17,66,53,1013.1,1012.6,23,24.3,No,0,No,2016,1,10
17.3,25.3,0,SW,35,S,SW,11,20,69,60,1018,1016.8,20.7,23,No,0,No,2015,3,90
6,22.9,0,NNE,26,ENE,NNE,9,11,73,35,1024,1019.3,14.2,22.6,No,0,No,2012,8,243
10.1,18.9,2.2,SW,39,SSW,SW,7,19,88,66,1020.8,1020.4,14.2,17.4,Yes,1.8,Yes,2014,7,196
8.4,18.1,0,SSW,28,NE,SSE,7,17,86,62,1028.1,1027,11.3,16.9,No,0,No,2015,7,206
20.6,34.5,0,SW,43,SE,SW,9,19,45,38,1021.4,1018.4,25.6,32.1,No,0,No,2013,1,27
10.7,21.7,0,NNE,26,NE,NE,7,7,82,47,1018.2,1015.4,13.8,21.1,No,0.2,No,2011,7,205
7.3,23.8,0,SW,35,SW,SW,6,15,47,42,1021.3,1019.8,18.6,21.3,No,0,No,2015,9,261
7.3,21.3,0,S,35,SSE,SSE,9,19,77,57,1026.6,1025.8,15.2,20.1,No,0,No,2012,5,143
20.1,37.7,0,NE,41,E,SW,9,11,55,34,1013.8,1010.9,28.2,37.2,No,2.4,Yes,2017,3,60
12.5,21.3,1.6,SW,24,W,WSW,6,11,90,54,1018.2,1015,15.6,19.6,Yes,5.2,Yes,2017,9,253
15.1,22.9,0,NNE,24,ESE,ENE,9,9,79,71,1013,1009.7,18.5,22.2,No,1.8,Yes,2014,5,126
9.7,14.8,24.4,SW,61,SSE,SW,7,19,90,64,1013.6,1014.2,10,13.7,Yes,12.2,Yes,2018,8,216
14.3,23.4,2.2,SW,31,WSW,SW,11,17,64,62,1015.7,1016,20.6,21,Yes,0,No,2014,10,296
19.3,35,0,SW,44,SSE,SW,13,19,54,33,1015.4,1011.7,24.1,33.9,No,0,No,2009,1,9
6.4,20.9,0,NNE,35,ENE,NNE,7,17,63,31,1019,1013,12.6,20.4,No,5.2,Yes,2015,6,152
8.3,17.5,6.2,SW,26,NE,WSW,2,7,96,65,1020.6,1020.2,11.1,16.9,Yes,0.2,No,2010,7,194
9.6,20.4,10,WSW,15,NNE,WNW,2,7,83,51,1022.8,1021.6,14.2,20.2,Yes,0,No,2010,5,148
13.1,25.8,0,SSW,41,SE,SSW,11,20,54,39,1012.9,1010.3,20.4,25,No,0,No,2011,1,25
16.8,33.4,0,ENE,37,NE,SSW,20,17,46,30,1015.8,1010.9,25.1,31.6,No,0,No,2014,12,345
12.2,18.2,17.2,WSW,50,WSW,SW,17,19,85,74,1006.3,1009.5,15.1,14.6,Yes,16,Yes,2017,5,141
3.8,17,0,NE,19,SSE,NE,6,9,89,53,1027.8,1024.5,10.6,16.5,No,0,No,2018,6,180
15.1,18.9,1,WSW,41,W,WSW,13,19,87,55,1016.1,1016.3,15.5,18.2,No,3.4,Yes,2013,8,225
7.8,19.6,0.2,SSW,33,SSE,SW,11,11,62,37,1029.9,1027.7,14.9,19,No,0,No,2012,9,256
20.6,35.2,0,ENE,35,E,S,13,13,57,27,1018.4,1015.9,24.7,34.5,No,0,No,2011,3,83
12.5,22.2,0.2,WSW,39,WSW,SW,11,20,61,50,1009,1008.9,19.4,20.9,No,1.4,Yes,2008,11,331
8.7,19,0,NE,31,ESE,E,13,11,74,44,1031,1027.6,12.7,18.5,No,0,No,2015,8,236
16.6,33.2,0,SW,43,E,SSW,13,17,48,30,1015.7,1011.1,23.3,31.3,No,0,No,2013,1,19
11.5,26.3,0,NE,33,ENE,NE,15,11,54,35,1019.4,1015.2,18.3,26,No,0,No,2012,5,133
13,21.9,10,NW,20,SW,NW,6,11,96,64,1019.9,1018.1,15.5,21.4,Yes,0.6,No,2014,5,130
12.3,25.1,0,SSW,39,WSW,SSW,6,20,56,48,1019,1016.9,19.5,22.4,No,0,No,2018,12,341
16.3,25.5,0,SW,48,SSW,SSW,11,28,61,48,1011.1,1009.7,22.7,24,No,0,No,2010,1,10
16.7,23.8,0,WSW,31,SW,WSW,9,17,78,62,1015.4,1015.3,18.9,21.4,No,0,No,2017,10,296
17.6,30.6,0,E,46,ENE,NE,13,11,55,34,1018.1,1013.8,19.6,29.9,No,1.6,Yes,2019,3,65
17,37.2,0,NE,35,NE,WSW,20,11,23,10,1015.5,1011.3,27.6,36.5,No,0,No,2013,11,314
11.3,20.3,0.6,SSE,22,N,SSE,6,13,90,72,1021.5,1020.2,15,19.5,No,0.2,No,2012,5,136
19.8,34.3,0,NNE,37,NE,NW,17,9,29,27,1016.1,1014,27,32.2,No,0,No,2020,3,85
18.2,33.2,0,SSW,31,SSW,SW,6,17,42,29,1007.9,1008.2,27.8,30.7,No,1.2,Yes,2011,1,22
9,15.8,5.6,WNW,22,ENE,WSW,7,9,96,86,1022.8,1020.6,10.7,13.2,Yes,3.2,Yes,2014,7,204
14.1,31.6,0,SE,37,E,ENE,17,13,52,28,1021.5,1016.4,16.4,29.7,No,0,No,2009,3,73
15.8,33.6,0,SW,39,SSE,WSW,7,15,29,28,1011.3,1009.5,27.7,31.7,No,0,No,2020,1,6
